page,title (rendered),h1,meta_description_present,canonical,og_image,twitter_card,jsonld_types,jsonld_block_count,notes
/,"Live theater that comes to you — Miss Lana's Fairy-Tale Theatre","Live theater that comes to you.",yes,https://misslanatheatre.com,NO,summary,"PerformingGroup+LocalBusiness; WebSite",2,"LocalBusiness lacks logo/image/sameAs/email/@id; no og:image"
/shows,"Shows — Miss Lana's Fairy-Tale Theatre","Eight kind fairy tales to choose from",yes,https://misslanatheatre.com/shows,NO,summary,BreadcrumbList,1,"Hub page; no ItemList schema for the 8 shows"
/shows/{slug} (x8),"<Show> — Miss Lana's Fairy-Tale Theatre",<Show title>,yes,.../shows/{slug},YES if show.image (6/8),summary_large_image if image,"CreativeWork; BreadcrumbList",2,"Correct: CreativeWork not Event (evergreen). 2 shows (cinderella, gingerbread-man) lack image -> no og:image"
/services,"Services — Miss Lana's Fairy-Tale Theatre","The same theater, shaped to your day",yes,https://misslanatheatre.com/services,NO,summary,BreadcrumbList,1,"Hub linking 4 service lines"
/school-shows,"School Shows — Miss Lana's Fairy-Tale Theatre","Theater your school can say yes to",yes,https://misslanatheatre.com/school-shows,NO,summary,"BreadcrumbList; FAQPage",2,"FAQPage = NO rich result (gov/health-only since 2023); markup harmless. Verified: 1 BreadcrumbList + 1 FAQPage, no duplicate"
/birthdays,"Birthday Parties — Miss Lana's Fairy-Tale Theatre","A magical party — without the hassle",yes,https://misslanatheatre.com/birthdays,NO,summary,"BreadcrumbList; FAQPage",2,"FAQPage no rich result; verified 1 BreadcrumbList + 1 FAQPage"
/characters,"Characters & Friends — Miss Lana's Fairy-Tale Theatre","Costumed characters who come to visit",yes,https://misslanatheatre.com/characters,NO,summary,BreadcrumbList,1,"—"
/gallery,"Gallery — Miss Lana's Fairy-Tale Theatre","From our shows",yes,https://misslanatheatre.com/gallery,NO,summary,BreadcrumbList,1,"26 real images; no ImageObject/VideoObject schema; 4 video clips not displayed"
/pricing,"Pricing — Miss Lana's Fairy-Tale Theatre","From $350",yes,https://misslanatheatre.com/pricing,NO,summary,BreadcrumbList,1,"H1 is a price, not a descriptive heading — weak for SEO/intent"
/planning-your-event,"Planning Your Event — Miss Lana's Fairy-Tale Theatre","Easy to host — we bring everything",yes,https://misslanatheatre.com/planning-your-event,NO,summary,"BreadcrumbList; FAQPage",2,"Rich FAQ content; FAQPage no rich result"
/about,"About — Miss Lana's Fairy-Tale Theatre","Theater as a little bit of magic",yes,https://misslanatheatre.com/about,NO,summary,BreadcrumbList,1,"Best page to host Organization/LocalBusiness schema — currently only on home"
/booking,"Book a show / Contact — Miss Lana's Fairy-Tale Theatre","Book a show",yes,https://misslanatheatre.com/booking,NO,summary,BreadcrumbList,1,"Conversion endpoint"
/design,"Design preview — Miss Lana (internal)",n/a (404 in prod),yes,n/a,n/a,n/a,none,0,"noindex + 404 in production + robots Disallow — correctly excluded"
GLOBAL,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"metadataBase=APP_BASE_URL; titles templated '<page> — Miss Lana's Fairy-Tale Theatre'; brand uses 'Theatre' but body copy uses American 'theater' (intentional, valid). NO opengraph-image/twitter-image fallback file anywhere."
