finding_id,pillar,status,severity,confidence,priority,recommended_action,owner,effort,dependency,verification_method,child_tung
F-01,B Indexability,UNVERIFIED,HIGH,HIGH,P0,"Confirm production site is reachable+indexable from the public internet (audit env egress-blocked from misslanatheatre.com). Run the live curl/URL-Inspection checks.",owner/infra,S,"GSC access; public network","curl -I from open network; GSC URL Inspection 'URL is on Google'",IMPLEMENT_MISS_LANA_SEARCH_MEASUREMENT_AND_MONITORING_001
F-02,A/C Config,UNVERIFIED,BLOCKER-if-wrong,HIGH,P0,"Verify APP_BASE_URL=https://misslanatheatre.com in production env; if unset it falls back to localhost:3000 and breaks every canonical/sitemap/OG/JSON-LD URL.",infra,XS,"Vercel env","View rendered canonical on live home == https://misslanatheatre.com",FIX_MISS_LANA_TECHNICAL_SEO_AND_REDIRECTS_001
F-03,C Domain migration,UNVERIFIED,HIGH,HIGH,P0,"Attach + DNS-point www, misslanatheater.com, magic-castle-puppet-theater.com to the deployment with valid HTTPS certs so the app 301s actually fire; reconcile legacy path map vs real old URLs.",infra,M,"DNS/registrar; legacy crawl/Wayback","curl -sSIL each host/path: single 301 hop to HTTPS apex",FIX_MISS_LANA_TECHNICAL_SEO_AND_REDIRECTS_001
F-04,M Measurement,MISSING,HIGH,HIGH,P0,"Create GSC Domain property (DNS TXT); submit sitemap; URL-Inspect key routes; file Change of Address from legacy property.",owner/infra,S,"Owner Google account; F-03","GSC shows verified property + submitted sitemap + indexed pages",IMPLEMENT_MISS_LANA_SEARCH_MEASUREMENT_AND_MONITORING_001
F-05,I Local/GBP,UNVERIFIED,HIGH,MEDIUM,P0,"Check for an existing/forgotten or duplicate/suspended GBP; if none, create as service-area business (hidden address) using docs/seo/GBP_PROFILE_PACKET.md.",owner,M,"Owner Google account","GBP dashboard shows one verified service-area profile",IMPLEMENT_MISS_LANA_GOOGLE_BUSINESS_PROFILE_AND_LOCAL_FOUNDATIONS_001
F-06,C Protocol,UNVERIFIED,MEDIUM,MEDIUM,P1,"Confirm http->https on apex and all alternate/legacy hosts is one hop (HSTS header is set in code; certs on legacy hosts needed to avoid http->https->canonical chain).",infra,S,"F-03; certs","curl -sSIL http://<host> single hop to https apex",FIX_MISS_LANA_TECHNICAL_SEO_AND_REDIRECTS_001
F-07,M Conversion,MISSING,HIGH,HIGH,P1,"Wire a real analytics sink (GA4/GTM dataLayer). lib/analytics.track() is a no-op today (no dataLayer/script loaded); lead_success/phone_click events go nowhere.",code,S,"GA4 property; consent posture","DebugView shows lead_success + phone_click events",IMPLEMENT_MISS_LANA_SEARCH_MEASUREMENT_AND_MONITORING_001
F-08,D/L Metadata,MISSING,MEDIUM,HIGH,P1,"Add a default opengraph-image (and per-page where useful) so social/AI cards have an image; static pages currently render no og:image (twitter card=summary).",code,S,"brand asset (TM gate for final logo)","View og:image on home + landing pages",OPTIMIZE_MISS_LANA_MEDIA_CWV_AND_VIDEO_SEARCH_001
F-09,H/I Reviews,MISSING,HIGH,HIGH,P1,"Collect >=5 genuine verified reviews (parents + school reps) via policy-compliant direct asks; never gate/incentivize/fake. Display real testimonials with source/permission.",owner/content,M,"GBP live (F-05); real customers","Reviews visible on GBP; testimonials sourced",BUILD_MISS_LANA_REVIEWS_CITATIONS_AND_LOCAL_AUTHORITY_001
F-10,D Intent,INCORRECT,MEDIUM,HIGH,P1,"Replace pricing H1 'From $350' with a descriptive heading (e.g. 'Pricing for live children's shows in Los Angeles'); keep 'From $350' as prominent crawlable text.",code,XS,none,"Rendered /pricing H1 is descriptive",OPTIMIZE_MISS_LANA_PAGE_INTENT_AND_INTERNAL_LINKING_001
F-11,E Entity,PARTIAL,MEDIUM,HIGH,P2,"Enrich Organization/LocalBusiness JSON-LD: add logo, image, email, @id, sameAs (social/GBP) once available; consider emitting org schema on /about too.",code,S,"social links; GBP URL; TM gate for logo","Rich Results Test shows complete Organization entity",IMPROVE_MISS_LANA_AI_SEARCH_ENTITY_VISIBILITY_001
F-12,L Media,PARTIAL,LOW,HIGH,P2,"Supply show-specific photos for the 2 imageless shows (Cinderella, The Gingerbread Man) so all show pages have hero + og:image.",owner,S,"owner assets","All 8 show pages render an image",OPTIMIZE_MISS_LANA_MEDIA_CWV_AND_VIDEO_SEARCH_001
F-13,E Structured data,NOT_APPLICABLE,NOTE,HIGH,P3,"FAQPage markup on 3 pages will NOT yield rich results (gov/health-only since 2023). Keep for semantics only; do not claim FAQ rich results. Optional: drop to reduce payload.",code,XS,none,"No reliance on FAQ rich result in plans",OPTIMIZE_MISS_LANA_PAGE_INTENT_AND_INTERNAL_LINKING_001
F-14,L Video,MISSING,MEDIUM,MEDIUM,P2,"Review the 4 filed clips; if usable, publish (ideally YouTube) with titles/captions + VideoObject; add ImageObject where useful.",owner/code,M,"owner video review","Videos live + VideoObject valid",OPTIMIZE_MISS_LANA_MEDIA_CWV_AND_VIDEO_SEARCH_001
F-15,E Structured data,MISSING,LOW,MEDIUM,P3,"Optionally add ItemList/CollectionPage schema on /shows hub to express the 8-show catalog.",code,S,none,"Rich Results Test parses ItemList",OPTIMIZE_MISS_LANA_PAGE_INTENT_AND_INTERNAL_LINKING_001
F-16,I/M Coverage,MISSING,MEDIUM,MEDIUM,P2,"Set up Bing Webmaster Tools + IndexNow + Apple Business Connect (Apple explicitly supports no-storefront businesses).",owner/code,M,"owner accounts","Listings live; IndexNow key returns 200",IMPLEMENT_MISS_LANA_SEARCH_MEASUREMENT_AND_MONITORING_001
F-17,A Canon drift,INCORRECT,LOW,HIGH,P3,"Update docs/core/04_SEO.md: it still recommends Event/TheaterEvent for shows (code correctly uses CreativeWork for evergreen) and an optional Ukrainian hreflang layer (no translated pages exist).",owner/docs,XS,none,"04_SEO.md matches implemented schema",OPTIMIZE_MISS_LANA_PAGE_INTENT_AND_INTERNAL_LINKING_001
F-18,B Robots,NOTE,NOTE,HIGH,P3,"robots.txt emits a non-standard Host directive (only Yandex honors it). Harmless; optional cleanup.",code,XS,none,"robots.txt review",FIX_MISS_LANA_TECHNICAL_SEO_AND_REDIRECTS_001
F-19,C/D Canonical,PARTIAL,LOW,HIGH,P3,"Home canonical has no trailing slash but sitemap+schema use trailing slash. Normalize for consistency (Google treats as same after normalization).",code,XS,none,"Home canonical == sitemap loc",FIX_MISS_LANA_TECHNICAL_SEO_AND_REDIRECTS_001
F-20,I/Off-page,MISSING,MEDIUM,MEDIUM,P2,"Build a modest, accurate citation/NAP set on a few high-authority directories (GigSalad, The Bash, Yelp, Kids Out & About) + local partnership mentions (preschools).",owner/marketing,M,"GBP live; NAP locked","NAP identical across listings",BUILD_MISS_LANA_REVIEWS_CITATIONS_AND_LOCAL_AUTHORITY_001
F-21,N AI visibility,PARTIAL,MEDIUM,MEDIUM,P3,"Improve entity consistency for AI answers: complete GBP, sameAs, third-party mentions, concise factual on-page answers. No GEO manipulation/hidden text/synthetic content.",owner/code,M,"F-05,F-11,F-20","Brand questions in AI tools return accurate info",IMPROVE_MISS_LANA_AI_SEARCH_ENTITY_VISIBILITY_001
F-22,K Performance,UNVERIFIED,MEDIUM,MEDIUM,P2,"Measure CWV with field (CrUX/GSC) + lab (PageSpeed) data once live; code signals are good (static SSG, next/font swap+fallback, priority hero, reserved aspect ratios). Watch INP on client islands.",owner/code,S,"live site; GSC","GSC CWV report green; PSI field data",OPTIMIZE_MISS_LANA_MEDIA_CWV_AND_VIDEO_SEARCH_001
F-23,G/H Content,MISSING,LOW,MEDIUM,P3,"Optional top-of-funnel resources (e.g. 'shows for 2-year-olds in LA', planning guides) from real theatre expertise — NOT mass AI articles, NOT doorway city pages.",owner/content,L,"editorial capacity","Pages have unique purpose + conversion path",OPTIMIZE_MISS_LANA_PAGE_INTENT_AND_INTERNAL_LINKING_001
F-24,H Positioning,UNVERIFIED,NOTE,MEDIUM,P3,"Reconcile 'live theatre, not puppets' brand lock vs real (partly puppet) repertoire + filed puppet imagery in /public. Owner decision; affects honest E-E-A-T claims.",owner,S,"owner decision","Positioning vs assets reconciled in canon",IMPROVE_MISS_LANA_AI_SEARCH_ENTITY_VISIBILITY_001
