cluster,query,intent_type,theater_vs_theatre,mapped_page,supporting_or_primary,volume,notes
brand,"miss lana's fairy-tale theatre",branded,theatre,home,primary,unknown,"Exact brand; ensure GBP + title tag match"
brand,"miss lana theatre los angeles",branded,theatre,home,primary,unknown,"Brand + geo"
brand,"miss lana fairy tale theater",branded,theater,home,supporting,unknown,"Americanized brand spelling variant"
brand,"miss lana kids show",branded,n/a,home,supporting,unknown,"Loose brand recall"
brand,"magic castle puppet theater los angeles",branded,theater,home,supporting,unknown,"Legacy brand — capture via 301 from legacy domain; do NOT position as puppets"
core-local,"children's theater los angeles",local,theater,home,primary,unknown,"Highly competitive; dominated by venues (Bob Baker) — differentiate as touring/at-your-location"
core-local,"children's theatre los angeles",local,theatre,home,supporting,unknown,"Spelling variant of above; same page"
core-local,"kids show los angeles",commercial,n/a,home,supporting,unknown,"Broad; supports home"
core-local,"live kids show los angeles",commercial,n/a,/shows,primary,unknown,"'Live' differentiates from puppet/screen; anchor /shows hub"
core-local,"mobile kids theater los angeles",commercial,theater,/services,primary,unknown,"Competitors use 'mobile' heavily (Puppet Theater on Wheels, PollyBilly)"
core-local,"touring children's theatre los angeles",commercial,theatre,/services,primary,unknown,"Owns the touring/we-come-to-you angle; low-competition phrasing"
core-local,"fairy tale show for kids los angeles",commercial,n/a,/shows,primary,unknown,"Core product descriptor; matches brand"
core-local,"kids entertainment los angeles",commercial,n/a,/services,supporting,unknown,"Very broad/competitive; supports services"
core-local,"costumed character show los angeles",commercial,n/a,/characters,primary,unknown,"Distinguishes live-actor costumed vs puppets"
core-local,"live actors kids show los angeles",commercial,n/a,/shows,supporting,unknown,"Anti-puppet differentiator"
schools,"school assembly entertainment los angeles",commercial,n/a,/school-shows,primary,unknown,"Validated cluster; competitors Shows That Teach, California Kids Fun, Academic Entertainment"
schools,"preschool entertainment los angeles",commercial,n/a,/school-shows,primary,unknown,"Core school audience"
schools,"daycare show los angeles",commercial,n/a,/school-shows,supporting,unknown,"Competitors list 'daycares' explicitly"
schools,"montessori entertainment los angeles",commercial,n/a,/school-shows,supporting,unknown,"No clear incumbent owns this phrasing — opportunity"
schools,"educational assembly los angeles",commercial,n/a,/school-shows,supporting,unknown,"SEL/kindness framing fits brand values"
schools,"preschool assembly show los angeles",commercial,n/a,/school-shows,supporting,unknown,"Long-tail; strong fit"
schools,"kindness assembly preschool los angeles",informational,n/a,/school-shows,supporting,unknown,"Values-led; aligns with brand 'kind' positioning"
birthdays,"birthday party entertainment los angeles",commercial,n/a,/birthdays,primary,unknown,"Very competitive (GigSalad, The Bash, Yelp packs)"
birthdays,"kids birthday entertainment los angeles",commercial,n/a,/birthdays,supporting,unknown,"Yelp category phrasing"
birthdays,"character show birthday party los angeles",commercial,n/a,/birthdays,supporting,unknown,"Heavy princess/superhero competition — differentiate w/ fairy-tale PLAY not single character"
birthdays,"interactive kids show birthday los angeles",commercial,n/a,/birthdays,supporting,unknown,"Interactive = key differentiator"
birthdays,"fairy tale party entertainment los angeles",commercial,n/a,/birthdays,supporting,unknown,"On-brand birthday angle"
birthdays,"bubble show kids party los angeles",commercial,n/a,/birthdays,supporting,unknown,"Brand includes bubbles; competitive (BubbleMania) — support not primary"
birthdays,"private kids event entertainment los angeles",commercial,n/a,/services,supporting,unknown,"Family/private events bucket"
near-me,"children's theater near me",local,theater,home,supporting,unknown,"Map/local-pack intent; depends on GBP"
near-me,"kids party entertainment near me",local,n/a,/services,supporting,unknown,"GBP-dependent"
near-me,"mobile puppet show near me",local,n/a,/services,supporting,unknown,"Brand is NOT puppets — capture adjacency carefully via copy ('live actors, not puppets')"
near-me,"kids show near me los angeles",local,n/a,home,supporting,unknown,"GBP service-area dependent"
informational,"best kids shows in los angeles",informational,n/a,/shows,supporting,unknown,"Listicle/discovery intent (Mommy Poppins, Upparent capture these)"
informational,"things to do with toddlers los angeles",informational,n/a,"n/a (blog gap)",none,unknown,"Top-funnel; no current page supports — content gap"
informational,"how much does kids party entertainment cost los angeles",informational,n/a,/pricing,primary,unknown,"Pricing-intent; 'from $350' answers it — keep as crawlable text"
informational,"what to do at a kids birthday party",informational,n/a,/planning-your-event,supporting,unknown,"Planning content fits this page"
informational,"shows for 2 year olds los angeles",informational,n/a,/shows,supporting,unknown,"Age-2 lower bound is a niche the brand can claim (most start at 3)"
geo-secondary,"children's theater san diego",local,theater,RESEARCH ONLY,none,unknown,"Do NOT build thin doorway page; only with genuine service + content"
geo-secondary,"mobile kids show san jose",local,n/a,RESEARCH ONLY,none,unknown,"Travel market; incumbents are youth musical-theater orgs (CMT), not mobile shows"
geo-secondary,"kids party entertainment sacramento",local,n/a,RESEARCH ONLY,none,unknown,"Same caution; only with real bookings/content"
geo-secondary,"fairy tale show for kids san diego",commercial,n/a,RESEARCH ONLY,none,unknown,"Validate demand before any page"
